Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
,1,FOR 2 & 6,BUSH ø 30x24L
,2,,THRUST RACES AS 2035
,2,,THRUST RACES AS 3552
,130,,STEEL BALL ø 6mm
,2,,O RING ID 120mm x 3mm
,9,FOR 1 & 2,HEX BOLT M6x30L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M6x30L
,1,FOR 6,PARALLEL KEY 6x6x40
ORS-06/F30,1,,SGB HOUSING ORS-06/F30
,1,,SGB COVER ORS-06/F30
,1,,SPUR GEAR ORS-06/F30
,1,,INTERMEDIATE GEAR ø 135x105L - EN8
,1,,PINION SHAFT ø 60x285L - EN19
,2,,HARD WASHER OD 175 x ID 150 x 8 THK
,2,,NEEDLE ROLLER CAGE KT 14515326
,2,,NEEDLE ROLLER CAGE KT 303620
,2,,NEEDLE ROLLER CAGE KT 404825
,2,FOR 5,THRUST RACES AS 3047
,2,FOR 4,THRUST RACES AS 4060
,2,,O RING ID 145mm x 6mm
,1,,O RING ID 30mm x 3mm
,8,FOR 1 & 2,HEX BOLT M8x30L - H.T. Gr. 8.8
,3,FOR 1 & 2,ALLEN BOLT M8x45L
,2,FOR 1 & 2,EYE BOLT M8x30L
,1,FOR 6,PARALLEL KEY 8x7x40
MLW-13/F16,1,,WGB HOUSING MLW-13/F16
,1,,WGB COVER MLW-13/F16
,1,,WORMWHEEL ø 125x108L - EN8
,1,,WORM ø 55x83L - EN19
,1,(MO),WORM SHAFT ø 30x220L - EN8
,1,,HANDWHEEL ø 600mm
,1,FOR 1 & 5 (TOP),BUSH ø 30x22L
,1,FOR 1 & 5 (BOTTOM),BUSH ø 30x22L
,2,,SPIRAL PIN ø 6x32
,2,,BEARING AXK 2035+AS+AS
,1,,O RING ID 86mm x 3mm
,2,FOR 1 & 2,ALLEN BOLT M10x25L
,2,FOR 1 & 2,ALLEN BOLT M10x30L
,1,FOR 5 & 6,HEX BOLT M8x15L - M.S
,1,FOR 5 & 6,PARALLEL KEY 8x7x40
,1,FOR 6 & 14,WASHER ID 9 x OD 30 x 1 THK
MLW-13/F25,1,,WGB HOUSING MLW-13/F25
,1,,WGB COVER MLW-13/F25
,1,,WORMWHEEL ø 125x108L - EN8
,1,,WORM ø 55x79L - EN19
,1,(MO/EO),WORM SHAFT ø 30x266L - EN8
,1,,HANDWHEEL ø 600mm
,1,FOR 1 & 5 (TOP),BUSH ø 30x22L
,1,FOR 1 & 5 (BOTTOM),BUSH ø 30x22L
,2,,SPIRAL PIN ø 6x32
,2,,BEARING AXK 2035+AS+AS
,1,,O RING ID 86mm x 3mm
,2,FOR 1 & 2,ALLEN BOLT M10x25L
,2,FOR 1 & 2,ALLEN BOLT M10x30L
,1,FOR 5 & 6,HEX BOLT M8x15L - M.S
,1,FOR 5 & 6,PARALLEL KEY 8x7x40
,1,FOR 6 & 14,WASHER ID 9 x OD 30 x 1 THK
MLW-60/F35,1,,WGB HOUSING MLW-60/F35
,1,,WGB COVER MLW-60/F35
,1,,WORMWHEEL MLW-60/F35
,1,,WORM ø 120x106L - EN19
,1,,WORM SHAFT ø 50x492L - EN8
,2,FOR 5 & 9,SPACER ø 75x17L
,1,,HANDWHEEL ø 1000mm
,2,,"SPIRAL PIN ø 1/2""x80L"
,2,,BEARING NTB 7095+GS+WS
,2,,BEARING KT 455320
,13,FOR 1 & 2,HEX BOLT M10x30L - M.S
,1,FOR 5 & 7,HEX BOLT M8x15L - M.S
,1,FOR 3 & 5,PARALLEL KEY 12x8x56
,1,FOR 7 & 12,WASHER ID 9 x OD 45 x 1 THK
